,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,traditional_funding_before,traditional_funding_after,%,profit,blockchain,single,token_utility_product,only_payment,transaction,generation,other_usage,main_value,voting_shareholder,voting_product,voting_other,profit_sharing,info, funding ,coin_offered,cap_money,same_price,expensive,start_date,ICO_days,cap_time,bitcoin,Ethereum,other_bc,bs,other_p,transaction_fee
Ethereum,0,0,100%,0,1,1,1,1,0,1,0,1,0,0,1,0,1," 18,000,000 ",0.83,0,0,1,Jul-14,42,1,1,0,0,0,0,0
Golem,0,0,100%,0,1,0,1,1,0,0,0,1,0,0,0,0,1," 8,600,000 ",0.82,1,1,0,Nov-16,1,1,0,1,0,0,0,0
Lykke,1,1,23.86%,1,1,0,0,0,0,1,1,2,1,0,0,1,1," 1,161,338 ",0.02,0,1,0,Sep-16,28,1,1,0,0,0,0,0
Lisk,0,0,100%,0,1,1,1,1,0,1,0,1,0,0,1,0,1," 60,000,000 ",0.85,0,0,1,Feb-16,28,1,1,0,1,0,0,0
Qtum,1,0,93.97%,0,1,1,1,1,0,1,0,1,0,0,0,0,1," 15,600,000 ",0.51,1,0,1,Apr-17,5,1,1,1,0,0,0,0
Gnosis,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 12,500,000 ",0.05,1,0,0,Apr-17,1,0,0,1,0,0,0,1
Humaniq,0,0,100%,0,1,0,0,1,1,1,0,3,0,0,0,0,1," 5,163,000 ",0.86,0,0,1,Apr-17,21,1,1,1,0,0,0,0
Iconomi,0,0,100%,1,1,0,0,0,0,0,1,2,1,1,1,1,1," 10,576,227 ",0.85,0,0,1,Aug-16,32,1,1,1,1,0,1,0
SJCX,0,1,8.61%,1,1,0,1,1,0,1,0,1,0,0,0,0,1," 461,802 ",0.70,1,0,1,Sep-14,31,1,1,0,0,0,0,0
Storj ,1,0,86.1%,1,1,0,1,1,0,1,0,1,0,0,0,0,1," 30,000,000 ",0.25,1,1,0,May-17,6,1,1,1,0,0,0,0
BAT ,1,0,83%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 35,000,000 ",0.67,1,1,0,May-17,0.002778,1,0,1,0,0,0,1
Status,0,0,100%,0,1,0,1,1,0,0,1,1,1,1,1,0,1," 99,400,000 ",0.44,1,1,0,Jun-17,1,1,0,1,0,0,0,0
Bancor,0,0,100%,1,1,0,1,0,1,0,0,1,0,0,0,0,1," 147,000,000 ",0.50,0,1,0,Jun-17,1,1,0,1,0,0,0,0
Civic,1,0,92.30%,1,1,0,1,1,0,0,1,1,0,0,0,0,1," 33,000,000 ",0.33,1,1,0,Jun-17,1,0,1,1,0,0,0,0
EOS,0,0,100%,0,1,1,0,0,0,0,0,4,0,0,0,0,0,,0.90,0,0,0,Jun-17,351,1,0,1,0,0,0,0
IOTA,0,0,100%,0,0,1,0,1,1,0,1,3,0,0,0,0,1," 584,000 ",1.00,0,0,1,Nov-15,27,0,1,0,1,0,0,0
Tezos,0,0,100%,0,1,1,0,1,1,0,0,3,0,0,0,0,1," 232,000,000 ",0.79,0,0,1,Jul-17,14,1,1,1,0,0,0,0
NEM,0,0,100%,0,1,1,1,1,0,1,0,1,0,0,1,0,0," 50,000 ",1.00,1,0,1,Jan-14,15,0,1,0,1,0,0,0
Stratis,0,0,100%,1,1,1,1,0,0,1,1,1,0,0,0,0,1," 600,000 ",0.86,0,0,1,Jul-16,35,1,1,0,0,0,0,0
NEO (2nd),0,0,100%,0,1,1,1,1,0,1,1,1,1,1,0,0,1," 4,500,000 ",0.23,0,0,1,Aug-16,31,1,1,0,0,0,0,0
BitConnect,0,0,100%,0,1,1,0,1,1,1,0,3,0,0,0,0,1," 1,050,000 ",0.17,0,0,1,Nov-16,56,1,1,0,0,0,0,0
Veritaseum,0,0,100%,1,1,0,0,0,1,0,0,3,0,0,0,0,0," 11,000,000 ",0.51,0,0,1,Apr-17,31,1,0,1,0,0,0,0
Waves,0,0,100%,1,1,1,0,1,1,1,1,3,0,1,0,0,1," 16,000,000 ",0.85,0,0,1,Apr-16,33,1,1,1,0,0,0,0
Augur,0,0,100%,1,1,0,0,0,0,0,1,2,0,0,1,1,1," 5,300,000 ",0.80,0,0,1,Aug-15,45,1,1,1,0,0,1,0
Populous,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 10,220,400 ",0.66,1,0,0,Jul-17,19,1,0,1,0,0,0,0
MaidSafeCoin,0,1,79%,0,1,1,1,1,0,1,0,1,0,0,0,0,0," 6,000,000 ",0.10,1,1,0,Apr-14,0.25,1,1,0,1,0,0,0
DigixDAO,0,0,100%,1,1,0,0,1,0,0,1,2,1,1,0,1,1," 5,500,000 ",0.85,1,0,1,Mar-16,0.5,1,0,1,0,0,0,0
OmiseGo,1,0,55%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 25,000,000 ",0.65,1,1,0,Jun-17,0,1,1,1,0,1,0,1
