name	traditional_funding_before	traditional_funding_after	%	profit	blockchain	single	token_utility_product	only_payment	transaction	generation	other_usage	voting_shareholder	voting_product	voting_other	profit_sharing	info	funding	coin_offered	cap_money	same_price	expensive	ICO_days	cap_time	bitcoin	Ethereum	other_bc	bs	other_p	transaction_fee	u_access_service	u_profit_sharing	u_transaction	u_other
Ethereum	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	18000000	0.83	0	0	1	42	1	1	0	0	0	0	0	1	0	0	0
Golem	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	8600000	0.82	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0
Lykke	1	1	0.2386	1	1	0	0	0	0	1	1	1	0	0	1	1	1161338	0.02	0	1	0	28	1	1	0	0	0	0	0	0	1	0	0
Lisk	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	60000000	0.85	0	0	1	28	1	1	0	1	0	0	0	1	0	0	0
Qtum	1	0	0.9397	0	1	1	1	1	0	1	0	0	0	0	0	1	15600000	0.51	1	0	1	5	1	1	1	0	0	0	0	1	0	0	0
Gnosis	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	12500000	0.05	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0
Humaniq	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	5163000	0.86	0	0	1	21	1	1	1	0	0	0	0	0	0	1	0
Iconomi	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	10576227	0.85	0	0	1	32	1	1	1	1	0	1	0	0	1	0	0
SJCX	0	1	0.086128134	1	1	0	1	1	0	1	0	0	0	0	0	1	461802	0.7	1	0	1	31	1	1	0	0	0	0	0	1	0	0	0
Storj 	1	0	0.861432401	1	1	0	1	1	0	1	0	0	0	0	0	1	30000000	0.25	1	1	0	6	1	1	1	0	0	0	0	1	0	0	0
BAT 	1	0	0.833	1	1	0	1	1	0	0	0	0	0	0	0	1	35000000	0.67	1	1	0	0.002778	1	0	1	0	0	0	1	1	0	0	0
Status	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	99400000	0.44	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0
Bancor	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	147000000	0.5	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0
Civic	1	0	0.923	1	1	0	1	1	0	0	1	0	0	0	0	1	33000000	0.33	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0
EOS	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	300000000	0.9	0	0	0	351	1	0	1	0	0	0	0	0	0	0	1
IOTA	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	584000	1	0	0	1	27	0	1	0	1	0	0	0	0	0	1	0
Tezos	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	232000000	0.79	0	0	1	14	1	1	1	0	0	0	0	0	0	1	0
NEM	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	50000	1	1	0	1	15	0	1	0	1	0	0	0	1	0	0	0
Stratis	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	600000	0.86	0	0	1	35	1	1	0	0	0	0	0	1	0	0	0
