name;traditional_funding_before;traditional_funding_after;%;profit;blockchain;single;token_utility_product;only_payment;transaction;generation;other_usage;main_value;voting_shareholder;voting_product;voting_other;profit_sharing;info;coin_offered;cap_money;same_price;expensive;cap_time;bitcoin;Ethereum;other_bc;bs;other_p;transaction_fee
Ethereum;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;0;1;0,8347;0;0;1;1;1;0;0;0;0;0
Golem;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0,82;1;1;0;1;0;1;0;0;0;0
Lykke;1;1;0,2386;1;1;0;0;0;0;1;1;2;1;0;0;1;1;0,0233;0;1;0;1;1;0;0;0;0;0
Lisk;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;0;1;0,85;0;0;1;1;1;0;1;0;0;0
Qtum;1;0;0,9397;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0,51;1;0;1;1;1;1;0;0;0;0
Gnosis;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0,05;1;0;0;0;0;1;0;0;0;1
Humaniq;0;0;1;0;1;0;0;1;1;1;0;3;0;0;0;0;1;0,86;0;0;1;1;1;1;0;0;0;0
Iconomi;0;0;1;1;1;0;0;0;0;0;1;2;1;1;1;1;1;0,85;0;0;1;1;1;1;1;0;1;0
SJCX;0;1;0,0861;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0,7;1;0;1;1;1;0;0;0;0;0
Storj ;1;0;0,861;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0,25;1;1;0;1;1;1;0;0;0;0
BAT ;1;0;0,83;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0,67;1;1;0;1;0;1;0;0;0;1
Status;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0,44;1;1;0;1;0;1;0;0;0;0
Bancor;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0,5;0;1;0;1;0;1;0;0;0;0
Civic;1;0;0,923;1;1;0;1;1;0;0;1;1;0;0;0;0;1;0,33;1;1;0;0;1;1;0;0;0;0
EOS;0;0;1;0;1;1;0;0;0;0;0;4;0;0;0;0;0;0,9;0;0;0;1;0;1;0;0;0;0
IOTA;0;0;1;0;0;1;0;1;1;0;1;3;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0
Tezos;0;0;1;0;1;1;0;1;1;0;0;3;0;0;0;0;1;0,79;0;0;1;1;1;1;0;0;0;0
NEM;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0
Stratis;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0,857;0;0;1;1;1;0;0;0;0;0
NEO (2nd);0;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;1;0,225;0;0;1;1;1;0;0;0;0;0
BitConnect;0;0;1;0;1;1;0;1;1;1;0;3;0;0;0;0;1;0,17;0;0;1;1;1;0;0;0;0;0
Veritaseum;0;0;1;1;1;0;0;0;1;0;0;3;0;0;0;0;0;0,51;0;0;1;1;0;1;0;0;0;0
Waves;0;0;1;1;1;1;0;1;1;1;1;3;0;1;0;0;1;0,85;0;0;1;1;1;1;0;0;0;0
Augur;0;0;1;1;1;0;0;0;0;0;1;2;0;0;1;1;1;0,8;0;0;1;1;1;1;0;0;1;0
Populous;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0,655;1;0;0;1;0;1;0;0;0;0
MaidSafeCoin;0;1;0,79;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0,1;1;1;0;1;1;0;1;0;0;0
DigixDAO;0;0;1;1;1;0;0;1;0;0;1;2;1;1;0;1;1;0,85;1;0;1;1;0;1;0;0;0;0
OmiseGo;1;0;0,55;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0,651;1;1;0;1;1;1;0;1;0;1
Komodo;0;0;1;0;1;1;0;1;1;1;0;3;0;0;0;0;1;0,9;1;0;1;1;1;0;1;0;0;0
TenX;1;0;0,97;1;1;0;0;0;0;0;0;2;0;0;0;1;1;0,8;1;0;1;1;1;1;1;0;1;1
MobileGo;0;0;1;1;0;0;1;1;0;0;1;4;0;0;0;1;1;0,7;0;0;1;1;0;1;1;0;0;0
SingularDTV;0;0;1;1;0;0;1;0;0;0;1;2;0;0;0;1;1;0,5;1;1;0;1;0;1;0;0;0;1
SysCoin;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;0,15;1;0;1;1;0;0;0;0;1;0
FirstBlood;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0,85;1;1;0;1;0;1;0;0;1;1
Aragon;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;0,7;1;1;0;0;0;1;0;0;1;1
Ark;0;0;1;0;1;1;1;1;0;0;1;1;0;0;1;0;1;0,75;0;0;1;1;1;0;1;0;1;0
Metaverse Ent...;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;0,22;1;1;0;1;1;0;0;0;1;0
FunFair;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0,21;1;1;0;1;1;1;1;0;1;0
Nexus;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0,95;1;0;1;1;0;1;0;0;0;0
DECENT;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0,7;1;0;1;1;1;0;0;0;1;0
Edgeless;0;0;1;1;1;0;1;0;0;0;1;2;0;0;0;1;1;0,88;1;0;1;1;0;1;0;0;1;0
ReddCoin;0;0;1;0;1;1;0;1;1;1;0;3;0;0;0;0;1;0,05;1;1;0;1;1;0;0;0;0;0
Peerplays;1;0;0,5263;1;1;1;0;0;0;0;1;2;1;1;0;1;1;0,16;1;0;1;1;1;0;0;0;0;0
Wings;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0,75;1;0;1;1;1;1;1;0;0;0
